,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
81,australia-news/2020/sep/25/coronavirus-australia-latest-the-week-at-a-glance,article,australia-news,Australia news,2020-09-25T08:21:44Z,Coronavirus Australia latest: the week at a glance,https://www.theguardian.com/australia-news/2020/sep/25/coronavirus-australia-latest-the-week-at-a-glance,https://content.guardianapis.com/australia-news/2020/sep/25/coronavirus-australia-latest-the-week-at-a-glance,False,pillar/news,News
82,world/2020/may/28/coronavirus-at-a-glance-may-29,article,world,World news,2020-05-28T12:59:01Z,Coronavirus: at a glance,https://www.theguardian.com/world/2020/may/28/coronavirus-at-a-glance-may-29,https://content.guardianapis.com/world/2020/may/28/coronavirus-at-a-glance-may-29,False,pillar/news,News
83,world/2020/sep/22/key-points-of-boris-johnson-coronavirus-statement-to-mps,article,world,World news,2020-09-22T13:09:25Z,What are the new coronavirus rules in England?,https://www.theguardian.com/world/2020/sep/22/key-points-of-boris-johnson-coronavirus-statement-to-mps,https://content.guardianapis.com/world/2020/sep/22/key-points-of-boris-johnson-coronavirus-statement-to-mps,False,pillar/news,News
84,world/2020/sep/22/coronavirus-rise-dashes-turkish-dreams-of-big-weddings,article,world,World news,2020-09-22T04:00:03Z,Coronavirus rise dashes Turkish dreams of big weddings,https://www.theguardian.com/world/2020/sep/22/coronavirus-rise-dashes-turkish-dreams-of-big-weddings,https://content.guardianapis.com/world/2020/sep/22/coronavirus-rise-dashes-turkish-dreams-of-big-weddings,False,pillar/news,News
85,commentisfree/2020/oct/18/the-observer-view-on-a-britain-divided-by-coronavirus,article,commentisfree,Opinion,2020-10-18T05:15:41Z,The Observer view on a Britain divided by coronavirus | Observer editorial,https://www.theguardian.com/commentisfree/2020/oct/18/the-observer-view-on-a-britain-divided-by-coronavirus,https://content.guardianapis.com/commentisfree/2020/oct/18/the-observer-view-on-a-britain-divided-by-coronavirus,False,pillar/opinion,Opinion
86,world/2020/may/25/coronavirus-glance-south-africa-eases-lockdown,article,world,World news,2020-05-24T23:01:32Z,Coronavirus: at a glance,https://www.theguardian.com/world/2020/may/25/coronavirus-glance-south-africa-eases-lockdown,https://content.guardianapis.com/world/2020/may/25/coronavirus-glance-south-africa-eases-lockdown,False,pillar/news,News
87,technology/2020/oct/17/nhs-drones-deliver-coronavirus-kit-between-hospitals-essex,article,technology,Technology,2020-10-17T14:36:39Z,NHS using drones to deliver coronavirus kit between hospitals,https://www.theguardian.com/technology/2020/oct/17/nhs-drones-deliver-coronavirus-kit-between-hospitals-essex,https://content.guardianapis.com/technology/2020/oct/17/nhs-drones-deliver-coronavirus-kit-between-hospitals-essex,False,pillar/news,News
88,science/2020/nov/07/aspirin-tested-uk-coronavirus-treatment-recovery-blood-clot,article,world,World news,2020-11-07T11:56:59Z,Aspirin to be tested in UK as potential coronavirus treatment,https://www.theguardian.com/science/2020/nov/07/aspirin-tested-uk-coronavirus-treatment-recovery-blood-clot,https://content.guardianapis.com/science/2020/nov/07/aspirin-tested-uk-coronavirus-treatment-recovery-blood-clot,False,pillar/news,News
89,world/2020/sep/20/matt-hancock-britain-is-at-coronavirus-tipping-point-london,article,world,World news,2020-09-20T09:42:24Z,Matt Hancock: Britain is at coronavirus tipping point,https://www.theguardian.com/world/2020/sep/20/matt-hancock-britain-is-at-coronavirus-tipping-point-london,https://content.guardianapis.com/world/2020/sep/20/matt-hancock-britain-is-at-coronavirus-tipping-point-london,False,pillar/news,News
90,world/ng-interactive/2020/nov/10/covid-vaccine-tracker-when-will-a-coronavirus-vaccine-be-ready,interactive,world,World news,2020-11-10T09:51:03Z,Covid vaccine tracker: when will a coronavirus vaccine be ready?,https://www.theguardian.com/world/ng-interactive/2020/nov/10/covid-vaccine-tracker-when-will-a-coronavirus-vaccine-be-ready,https://content.guardianapis.com/world/ng-interactive/2020/nov/10/covid-vaccine-tracker-when-will-a-coronavirus-vaccine-be-ready,False,pillar/news,News
91,uk-news/2020/nov/08/coronavirus-officers-injured-and-arrests-made-at-manchester-protest,article,uk-news,UK news,2020-11-09T07:08:23Z,Coronavirus: officers injured and arrests made at Manchester lockdown protest,https://www.theguardian.com/uk-news/2020/nov/08/coronavirus-officers-injured-and-arrests-made-at-manchester-protest,https://content.guardianapis.com/uk-news/2020/nov/08/coronavirus-officers-injured-and-arrests-made-at-manchester-protest,False,pillar/news,News
92,us-news/2020/oct/14/barron-trump-coronavirus-covid-melania-trump,article,us-news,US news,2020-10-14T22:01:15Z,"Barron Trump tested positive for coronavirus, Melania Trump reveals",https://www.theguardian.com/us-news/2020/oct/14/barron-trump-coronavirus-covid-melania-trump,https://content.guardianapis.com/us-news/2020/oct/14/barron-trump-coronavirus-covid-melania-trump,False,pillar/news,News
